player_name,team_abbreviation,position,gp,pts,per,ovr_2k,true_ovr,ovr_gap
Ace Bailey,UTA,SF,72,13.8,11.6,81.0,63,18.0
Will Riley,WAS,SF,74,10.3,12.1,81.0,64,17.0
Bub Carrington,WAS,PG,82,10.7,9.9,78.0,63,15.0
Tre Johnson,WAS,SG,60,12.2,10.6,78.0,63,15.0
Cody Williams,UTA,SG,67,8.8,9.6,76.0,62,14.0
Nique Clifford,SAC,SG,75,8.6,9.0,77.0,63,14.0
Aaron Nesmith,IND,SF,45,13.8,10.8,80.0,66,14.0
Jaylen Wells,MEM,SG,69,12.5,11.5,79.0,66,13.0
Rui Hachimura,LAL,PF,68,11.5,11.6,81.0,68,13.0
Nolan Traoré,BRK,PG,56,8.9,7.9,77.0,64,13.0
