player_name,pts,per,ovr_2k,true_ovr,ovr_gap
Nikola Jokić,27.7,32.3,98.0,99,-1.0
Victor Wembanyama,25.0,29.9,97.0,98,-1.0
Shai Gilgeous-Alexander,31.1,30.8,98.0,98,0.0
Luka Dončić,33.5,27.9,97.0,97,0.0
Kawhi Leonard,27.9,27.9,93.0,96,-3.0
Cade Cunningham,23.9,21.6,93.0,96,-3.0
Chet Holmgren,17.1,21.6,86.0,95,-9.0
Jalen Duren,19.5,26.1,85.0,95,-10.0
Scottie Barnes,18.1,19.2,88.0,95,-7.0
Tyrese Maxey,28.3,21.9,92.0,95,-3.0
Kevin Durant,26.0,21.1,93.0,94,-1.0
Donovan Mitchell,27.9,22.9,93.0,94,-1.0
Alperen Şengün,20.4,21.4,87.0,94,-7.0
Jalen Johnson,22.5,20.4,87.0,93,-6.0
Anthony Edwards,28.8,21.8,96.0,93,3.0
Giannis Antetokounmpo,27.6,32.6,97.0,93,4.0
Paul Reed,7.8,24.2,79.0,92,-13.0
Karl-Anthony Towns,20.1,22.0,93.0,92,1.0
Neemias Queta,10.2,20.3,81.0,92,-11.0
Jaylen Brown,28.7,22.0,91.0,92,-1.0
LeBron James,20.9,20.8,91.0,91,0.0
Deni Avdija,24.2,20.3,88.0,91,-3.0
James Harden,23.6,20.7,87.0,91,-4.0
Robert Williams,6.7,22.1,80.0,91,-11.0
Evan Mobley,18.2,20.0,87.0,91,-4.0
