player_name,team_abbreviation,position,gp,pts,per,ovr_2k,true_ovr,ovr_gap
Paul Reed,DET,C,65,7.8,24.2,79.0,92,-13.0
Goga Bitadze,ORL,C,64,5.9,20.1,77.0,89,-12.0
Robert Williams,POR,C,59,6.7,22.1,80.0,91,-11.0
Neemias Queta,BOS,C,76,10.2,20.3,81.0,92,-11.0
Jalen Duren,DET,C,70,19.5,26.1,85.0,95,-10.0
Mitchell Robinson,NYK,C,60,5.7,21.1,80.0,90,-10.0
Day'Ron Sharpe,BRK,C,62,8.7,20.5,78.0,88,-10.0
Luke Kornet,SAS,C,68,6.5,17.9,78.0,88,-10.0
Chet Holmgren,OKC,PF,69,17.1,21.6,86.0,95,-9.0
Sandro Mamukelashvili,TOR,C,80,11.2,18.1,79.0,87,-8.0
